country_group,municipality_type_group,years_band,n,n_weighted,loneliness_direct,loneliness_ucla,loneliness_djg
EU,Large town/city,0-5,1391,1193.484399,0.480720115,5.200420741,3.394748145
EU,Large town/city,6-15,1977,1769.666977,0.381613275,4.91966627,3.216430737
EU,Large town/city,16-25,1891,1823.342077,0.391808324,4.917667141,3.034428417
EU,Large town/city,26-35,1608,1469.324456,0.318990609,4.846859193,2.808157622
EU,Large town/city,36-45,1505,1458.479115,0.36034317,4.807095198,3.027044799
EU,Large town/city,46+,2497,3075.001001,0.248051154,4.423269527,2.580142248
EU,Rural,0-5,1094,1087.890034,0.411911426,4.773433165,2.97409538
EU,Rural,6-15,1192,1216.93571,0.399312097,5.10048174,3.223060572
EU,Rural,16-25,1191,1300.547198,0.437498019,5.00776287,3.181898096
EU,Rural,26-35,785,741.365805,0.303571465,4.625247232,2.703017677
EU,Rural,36-45,549,594.0307696,0.321002499,4.71084341,3.049838638
EU,Rural,46+,725,1071.406357,0.262575073,4.523386235,2.554145296
EU,Small/medium town,0-5,1307,1310.62485,0.449261748,5.068578001,3.304237599
EU,Small/medium town,6-15,1378,1464.925049,0.393198341,4.980470999,3.132851922
EU,Small/medium town,16-25,1373,1471.143216,0.415766128,4.892181498,3.107275257
EU,Small/medium town,26-35,955,964.4536098,0.302517389,4.79383506,3.111078887
EU,Small/medium town,36-45,939,974.185411,0.344111542,4.629517819,2.958546383
EU,Small/medium town,46+,1258,1468.29183,0.309036953,4.680498787,2.801621407
Ireland,Large town/city,0-5,103,74.26411813,0.543345153,5.395603419,3.407471072
Ireland,Large town/city,6-15,77,57.45992483,0.574985363,5.138821359,3.398761733
Ireland,Large town/city,16-25,52,61.81396178,0.31569695,5.292480319,2.557357442
Ireland,Large town/city,26-35,42,31.32453445,0.442967281,5.561715447,2.927586201
Ireland,Large town/city,36-45,25,28.71971126,0.455427661,5.168009062,2.780781199
Ireland,Large town/city,46+,26,57.32216122,0.472122652,4.74071099,3.187570305
Ireland,Rural,0-5,84,74.29494403,0.323628213,5.283705072,2.930952906
Ireland,Rural,6-15,67,76.31165895,0.375959131,5.381223214,3.224837751
Ireland,Rural,16-25,72,88.21897749,0.445469144,5.454655414,3.610046032
Ireland,Rural,26-35,26,29.48906816,0.265168637,4.61796293,3.049315148
Ireland,Rural,36-45,22,30.24091699,0.089862734,3.752659024,1.730864184
Ireland,Rural,46+,12,21.95701906,0.021860695,3.539143638,1.461598651
Ireland,Small/medium town,0-5,133,103.2147192,0.483667536,5.592342616,3.696631573
Ireland,Small/medium town,6-15,86,77.54133714,0.413239072,5.14531239,3.437229637
Ireland,Small/medium town,16-25,63,75.27631857,0.358508853,5.393798047,2.809144571
Ireland,Small/medium town,26-35,28,28.42588226,0.550609175,5.44820726,3.474190077
Ireland,Small/medium town,36-45,18,13.84658385,0.328454653,6.036943789,3.835914071
Ireland,Small/medium town,46+,13,24.99983404,0.450964281,4.998298403,3.035744666
